id1,id2,types,new
1,44,MASYMOS_RESOURCE_DESCRIBES_TRANSCRIPT,0
1,98,MASYMOS_BELONGS_TO,0
1,99,MASYMOS_BELONGS_TO,0
1,106,MASYMOS_ENTITY_TO_CHEBI,0
1,107,MASYMOS_RESOURCE_DESCRIBES_PAPERID,0
1,130,MASYMOS_RESOURCE_DESCRIBES_METABOLITE,0
1,131,MASYMOS_RESOURCE_DESCRIBES_METABOLITE,0
1,142,MASYMOS_RESOURCE_DESCRIBES_GENE,0
1,143,MASYMOS_RESOURCE_DESCRIBES_GENE,0
1,172,MASYMOS_DOID_DESCRIBES_DISEASE,0
1,173,MASYMOS_DOID_DESCRIBES_DISEASE,0
1,174,MASYMOS_ENTITY_TO_GO,0
1,232,MASYMOS_ENTITY_TO_SBO,0
1,238,MASYMOS_RESOURCE_DESCRIBES_GENESYMBOL,0
2,30,LOCATED_IN,0
2,31,LOCATED_IN,0
3,98,MASYMOS_HAS_ANNOTATION,0
3,199,MASYMOS_BELONGS_TO,0
5,93,MASYMOS_BELONGS_TO,0
6,93,MASYMOS_BELONGS_TO,0
8,140,MENTIONS,0
8,236,MENTIONS,0
8,237,MENTIONS,0
8,238,MENTIONS,0
10,11,MENTIONED_WITH,0
11,10,MENTIONED_WITH,0
17,140,MENTIONS,0
17,236,MENTIONS,0
17,237,MENTIONS,0
17,238,MENTIONS,0
19,2,LOCATED_IN,0
22,140,SYNONYM,0
22,141,SYNONYM,0
22,193,SYNONYM,0
22,236,SYNONYM,0
22,238,SYNONYM,0
22,242,SYNONYM,0
22,243,SYNONYM,0
30,152,CURRENT_FEMALE,0
33,103,CITATION_HAS_REFERENCE,0
33,105,CITATION_HAS_REFERENCE,0
35,103,CITATION_HAS_REFERENCE,0
35,105,CITATION_HAS_REFERENCE,0
36,39,IS_REFERENCE_TYPE,0
36,132,HAS_PUBLICATION_ID,0
37,164,PATENTFAMILY_HAS_LENSID,0
38,165,ABSTRACTCOLLECTION_HAS_ABSTRACT,0
43,44,MAPS,0
43,46,MAPS,0
43,47,MAPS,0
43,48,MAPS,0
44,46,MAPS,0
44,47,MAPS,0
44,48,MAPS,0
44,226,CODES,0
47,46,REPLACED_BY,0
47,48,REPLACED_BY,0
47,158,CODES,0
48,46,REPLACED_BY,0
48,47,REPLACED_BY,0
48,157,CODES,0
49,140,SYNONYM,0
49,141,SYNONYM,0
49,236,SYNONYM,0
49,238,SYNONYM,0
49,243,SYNONYM,0
50,148,_RUN,0
73,160,_Bloom_HAS_SCENE_,0
74,99,MASYMOS_BELONGS_TO,0
75,147,BODYTEXTCOLLECTION_HAS_BODYTEXT,0
78,183,AUTHORCOLLECTION_HAS_AUTHOR,0
78,185,AUTHORCOLLECTION_HAS_AUTHOR,0
79,119,PATENTLITERATURECITATION_HAS_PATENTNUMBER,0
81,95,PATENT_HAS_PATENTCLASSIFICATIONCOLLECTION,0
81,96,PATENT_HAS_PATENTABSTRACT,0
81,110,PATENT_HAS_PATENTDESCRIPTION,0
81,113,PATENT_HAS_PATENTCITATIONCOLLECTION,0
81,117,PATENT_HAS_PATENTTITLE,0
81,119,PATENT_HAS_PATENTNUMBER,0
81,164,PATENT_HAS_LENSID,0
81,168,INVENTOR,0
81,213,PATENT_HAS_PATENTCLAIM,0
83,95,PATENT_HAS_PATENTCLASSIFICATIONCOLLECTION,0
83,96,PATENT_HAS_PATENTABSTRACT,0
83,119,PATENT_HAS_PATENTNUMBER,0
83,164,PATENT_HAS_LENSID,0
83,168,APPLICANT,0
85,199,MASYMOS_HAS_MODEL,0
86,159,MASYMOS_HAS_SEDML,0
90,145,BELONGS_TO_MODEL,0
91,145,BELONGS_TO_MODEL,0
92,98,MASYMOS_HAS_ANNOTATION,0
92,181,MASYMOS_HAS_MODIFIER,0
92,199,MASYMOS_BELONGS_TO,0
93,5,MASYMOS_HAS_CURVE,0
93,6,MASYMOS_HAS_CURVE,0
93,159,MASYMOS_BELONGS_TO,0
95,51,PATENTCLASSIFICATIONCOLLECTION_HAS_INTERNATIONALPATENTCLASSIFICATION,0
95,149,PATENTCLASSIFICATIONCOLLECTION_HAS_COOPERATIVEPATENTCLASSIFICATION,0
95,194,PATENTCLASSIFICATIONCOLLECTION_HAS_USPATENTCLASSIFICATION,0
96,134,HAS_FRAGMENT,0
98,1,MASYMOS_unknownQualifier,0
98,3,MASYMOS_BELONGS_TO,0
98,92,MASYMOS_BELONGS_TO,0
98,108,MASYMOS_BELONGS_TO,0
98,177,MASYMOS_BELONGS_TO,0
98,179,MASYMOS_BELONGS_TO,0
98,181,MASYMOS_BELONGS_TO,0
98,199,MASYMOS_BELONGS_TO,0
98,210,MASYMOS_BELONGS_TO,0
99,1,MASYMOS_HAS_SBOTERM,0
99,74,MASYMOS_IS_CREATOR,0
99,177,MASYMOS_BELONGS_TO,0
99,199,MASYMOS_BELONGS_TO,0
